jockey_id,jockey_name,jockey_added_value
00730,高山太郎,-0.07390307240012456
00728,菊地昇吾,0.0
00714,橋本美純,0.17081813671415225
01056,西原玲奈,0.0
00839,戸部尚実,0.0
00672,菊沢隆徳,0.06279312273284188
00685,角田晃一,0.09082715019292996
05194,倉地学,-0.10557581771446366
05453,ウェルズ,0.0
00907,桑島孝春,-0.026393954428615914
00410,向山牧,-0.03519193923815455
05296,米倉知,-0.16666666666666666
05409,柏木健宏,0.0
00405,浜口楠彦,0.35369694965073434
00627,出津孝一,-0.10557581771446366
05452,沢田龍哉,-0.10557581771446366
05000,酒井忍,-0.16666666666666666
05256,山下貴光,0.0
05459,林幻,0.0
01083,高井彰大,-0.00718183572227412
05094,斉藤正弘,0.0
05461,ライ,0.8944241822855363
00423,山田信大,-0.45337375741997277
00679,小野次郎,-0.020760316599884417
00729,小林久晃,-0.0407907138178402
00643,田島裕和,-0.03726205331098717
05415,カステリ,0.0
01107,船曳文士,-0.03356690236454409
05463,高橋悠里,0.0
05465,チャドウ,-0.2767857142857143
05007,スミス,-0.4425595238095238
05468,スタイン,0.0
05467,マイヨ,0.0
05335,ボニヤ,-0.08007504943919297
05466,マルレナ,0.0
01073,高野容輔,0.000940108102132956
05462,大坪慎,-0.10557581771446366
01079,北村浩平,0.013280619337435438
01003,金折知則,-0.009872486126174213
01081,生野賢一,-0.03391782770889817
01028,仲田雅興,-0.1111111111111111
01065,柄崎将寿,-0.0433744045714745
05349,加藤和義,0.0
00699,郷原洋司,-0.02999073013771471
05282,松浦政宏,0.0
05022,菅原勲,-0.11921082722160171
01086,南田雅昭,0.026303937292764836
05064,水野貴史,-0.07222728776194925
00865,ブフ,0.0
05476,畑中信司,0.0
05284,マーウィ,0.0
05228,北野真弘,-0.11852527257148789
05365,山崎誠士,0.18024241087826734
05457,西村栄喜,-0.05278790885723183
00579,川島洋人,-0.26668186328584775
01047,高橋智大,-0.009727124357441925
05054,坂下秀樹,0.0305454244761015
00443,山口竜一,0.10225105912081069
05337,コーツィ,-0.10557581771446366
05479,アングラ,-0.41666666666666663
05104,小嶋久輝,-0.10557581771446366
05481,倉兼育康,0.0
05480,斎藤雄一,-0.10557581771446366
00725,宗像徹,-0.04848853251374086
05223,赤木高太,0.006200763520518449
05483,エスピノ,0.0
05484,ハナガン,-0.18988648090815272
05033,ヴェラス,0.03561935140882513
05486,ノレン,-0.38496240601503756
05392,ドミンゲ,-0.3088655462184874
01121,鷹野宏史,-0.01636735593912608
01074,柴原央明,-0.049429786451330206
01078,加藤士津,-0.04699164871945068
01076,南井大志,-0.06826554663048716
01055,田嶋翔,0.0045122077550069665
05086,安部幸夫,-0.05885301621919993
05350,杉村一樹,-0.08260767132836762
01094,水出大介,-0.07153790885723182
00836,安藤光彰,-0.025551605005385246
01103,田中克典,-0.020166573303162804
01011,高橋亮,0.00016202398809140814
05474,竹村達也,0.0
01071,岩崎祐己,-0.006928212791555307
00719,伊藤直人,-0.028624332947888062
00712,小林淳一,-0.02985670045621385
01001,青木芳之,-0.06045829024751673
05482,坂本和也,-0.0703838784763091
01040,穂苅寿彦,-0.016375401552920183
05101,小国博行,-0.10557581771446366
05096,川島雅人,0.0
05490,山本政聡,0.0
05088,馬渕繁治,-0.10972728776194925
05477,黒沢愛斗,-0.10557581771446366
05041,吉田稔,-0.02864856888188454
01084,長谷川浩,-0.027483768950265174
01048,武英智,-0.048571868849155465
05493,チャベス,0.0
05475,ピンナ,-0.10186600440204213
01106,千葉直人,-0.0318773830853638
01110,池崎祐介,-0.02009798263214081
00621,田面木博,-0.08172406974372608
00945,安藤勝己,-0.01759844818971262
00682,佐藤哲三,-0.011479967652820314
00432,ペリエ,-0.14242235308537637
05494,カラン,-0.47058823529411764
01022,今村康成,-0.011647809949802176
01054,鈴来直人,-0.03483582041915949
01006,野元昭嘉,-0.030662449363276622
05496,郷間勇太,0.0
00674,芹沢純一,-0.037348961359585264
01053,小林慎一,-0.031118850673290215
00734,渡辺薫彦,-0.06459140696882214
01136,高嶋活士,-0.02654916724834085
00637,石橋守,-0.04910131560759889
00718,飯田祐史,-0.0304426476995135
00426,張田京,-0.07156266297199414
05499,ウォルシ,-0.10557581771446366
05294,村上忍,-0.041666666666666664
05405,板野央,-0.05278790885723183
05500,佐藤裕太,0.0
05301,吉田晃浩,-0.027399891187704726
01017,増沢由貴,-0.05809827741907431
01033,荻野要,-0.01023518611333518
00863,石崎隆之,0.039679645088409946
00882,ムルタ,-0.06710944075413552
00879,スティー,-0.4598290598290598
05396,坂井英光,0.021402391347874684
00709,上村洋行,-0.03973679697449658
01145,山崎亮誠,-0.02305394271153466
05506,別府真衣,0.0
05507,有年淳,0.0
05508,島崎和也,0.0
05505,エノン,0.6206896551724138
01148,原田敬伍,-0.029284006225685617
05485,ペドロサ,-0.12618446367324546
05147,長田進仁,0.0
05510,ローウィ,-0.07360505362364805
05511,エスポジ,-0.053688764350069446
05513,ペロヴィ,-0.0809062628871459
05259,木村健,-0.03343477903790066
05039,スマレン,-0.2491297984848672
00890,ヒューズ,0.06921096864943842
05074,赤岡修次,-0.07878738285740876
05515,マニング,0.0
05518,デフリー,-0.1217948717948718
00897,デザーモ,-0.19455228007859585
05383,尾島徹,-0.031053071376275422
05352,石崎駿,-0.04223032708578546
00715,横山義行,-0.0001234124843861059
01050,梶晃啓,-0.016054408758026027
