trainer_id,trainer_name,trainer_added_value
00288,福永甲,0.0006648046059851163
00184,佐々木亜,-0.04624246075521008
01015,田所清広,-0.008114957736224527
00394,中野渡清,-0.025594137627748766
00371,小林常泰,0.0010337695735919972
00426,郷原洋行,-0.012617733517439157
00180,坂口正大,0.007072495492513525
00338,野元昭,0.025807583133850075
00203,須貝彦三,-0.0009646488392428799
00216,高橋成忠,0.0023369379583196453
00110,池江泰郎,0.019227161778869732
00331,吉岡八郎,-0.009744446541371306
00297,本郷一彦,0.004872317495240941
00410,秋山雅一,0.005777235194313914
01004,後藤由之,-0.018472116271784363
00404,河野通文,-0.003227572452417315
00414,中島敏文,-0.009134033923049097
00377,平井雄二,0.006075535881796777
00358,鈴木勝美,-0.013438223361997393
00355,境征勝,-0.04531828830466279
01060,小島貞博,0.01890282726000975
00198,清水利章,-0.02582505654777635
00407,高橋隆,0.0006380817614614189
00119,稲葉隆一,-0.05463183719113786
00244,鶴留明雄,0.004215048537691289
01034,坂本勝美,-0.031968046292086785
00393,嶋田功,-0.00047084331647621316
01019,保田一隆,-0.009945395083959568
00385,佐藤全弘,-0.01801939157499985
00202,新川恵,-0.022152793389061513
00106,阿部新生,-0.03706626470922958
00430,柴崎勇,-0.02104145019107613
00416,田島良保,-0.01208935208899634
00301,増本豊,-0.022313529290602558
00389,飯田明弘,-0.01809522147088763
00368,鹿戸明,-0.03366142327231953
00369,清水出美,-0.023450481822185596
00375,野村彰彦,-0.025633749347405924
00289,藤岡範士,-0.03917671884150948
00357,佐山優,-0.022545247046181594
00221,武宏平,-0.004300676954017587
00337,小原伊佐,-0.03059727218110643
00345,領家政蔵,-0.02403940978073368
00364,矢野照正,-0.018593988319951026
00311,松山康久,-0.029058243224518766
00347,清水美波,-0.024986371890065036
00401,嶋田潤,-0.038491497969363506
00131,梅田康雄,-0.04186095328425344
00346,境直行,-0.03158522932529427
00350,小野幸治,0.0002989259163150183
00398,梅内忍,-0.027744409899649852
00201,白井寿昭,-0.03439874298506759
00138,大久保洋,-0.019150853721230775
00208,鈴木康弘,-0.062193581158174756
00339,畠山重則,-0.027915770183865006
00406,柴田政見,-0.02445722341049777
00343,橋口弘次,-0.04769299979327937
00224,武田博,-0.04104657674847956
00348,松田博資,-0.06636235300475564
00413,田中章博,-0.025692779857582785
01122,日吉正和,-0.0319620444531396
00433,成島英春,-0.030736183992842517
00361,坪憲章,-0.03321670709107941
00395,長浜博之,-0.06077333196290356
00415,菅原泰夫,-0.03128500669396833
00400,柴田光陽,-0.031617040964604194
00390,池上昌弘,-0.05185194093467961
01025,佐藤正雄,-0.0258327644147916
00387,目野哲也,-0.03724115245194774
00409,二ノ宮敬,-0.059480890334860904
00396,福島信晴,-0.026167538989373733
00353,和田正道,-0.04224403098024753
00397,岩元市三,-0.031445278554129215
00349,尾形充弘,-0.03831758842415943
01013,小島太,-0.04480419198433121
00379,加藤敬二,-0.031077387360096232
00370,二本柳俊,-0.01842272785372457
00365,崎山博樹,-0.030318986920639574
00402,谷原義明,-0.03982875236285704
00356,坂口正則,-0.05871633018726015
00341,栗田博憲,-0.04794435687211274
01007,柴田政人,-0.023982015263288834
00378,沖芳夫,-0.04178889599528224
00419,松元茂樹,-0.05490016364696063
00261,中村均,-0.04370646882963782
00383,伊藤正徳,-0.04102098600753879
01014,高市圭二,-0.026416970929851548
00388,山内研二,-0.06280774845002549
01006,作田誠二,-0.031060503585576694
01036,高橋義博,-0.02034435598986312
00434,西橋豊治,-0.026170834171721294
01022,石坂正,-0.05154185985447777
01053,角居勝彦,-0.06060631607828135
01030,星野忍,-0.03472613207297143
01011,松田国英,-0.03824547306835635
01057,湯窪幸雄,-0.04298069760465393
01016,西浦勝一,-0.037438109682415746
01009,田所秀孝,-0.05160796438735063
00435,藤原辰雄,-0.03044330051815376
00436,堀井雅広,-0.043693426579836464
00386,藤沢和雄,-0.06114664196972098
00408,田中清隆,-0.05597807268032068
00380,柄崎孝,-0.04780582412054627
00392,古賀史生,-0.047154562426584966
00411,浅見秀一,-0.07161487272850749
00359,高橋祥泰,-0.04871446647830319
00422,五十嵐忠,-0.03891426358852608
00362,橋田満,-0.05187399493370354
01012,大江原哲,-0.04033413590126451
01021,池添兼雄,-0.04342444774091962
01049,南井克巳,-0.053835973840578345
01040,服部利之,-0.03507059237613391
00421,浅野洋一,-0.03127607179885561
01050,飯田雄三,-0.023116284995590757
00425,加用正,-0.0358327922820136
01083,松永昌博,-0.0571374312640105
01005,小桧山悟,-0.039282167940968594
00438,安田隆行,-0.0735114002814776
01010,中野栄治,-0.039620242590682406
00412,高橋裕,-0.06928183998499968
01003,川村禎彦,-0.04354722202040647
01041,藤沢則雄,-0.03344395986183242
00428,石毛善彦,-0.052538911597933446
01072,河内洋,-0.06154898697447786
01033,木原一良,-0.04107965943270191
01002,音無秀孝,-0.06439994290563314
01107,村山明,-0.041437545834354994
01046,鮫島一歩,-0.050132549478301994
00420,宗像義忠,-0.05131778804157172
01067,久保田貴,-0.06167922774274771
01104,笹田和秀,-0.058588413444598156
01081,中川公成,-0.04054650853632918
01208,柄崎将寿,-0.04850940083290963
01195,嘉藤貴行,-0.025015076654260438
01017,萩原清,-0.06154180846322026
01114,和田正一,-0.040128420834156235
01134,高橋文雅,-0.051567771481703585
01201,森一誠,-0.07302536687524373
01167,稲垣幸雄,-0.05278435785711435
01061,友道康夫,-0.0848017351359554
01192,上原佑紀,-0.024799220928324317
01206,高橋一哉,-0.05119351524642649
01125,小野次郎,-0.027169568378107693
01171,小手川準,-0.03428562185358689
01084,梅田智之,-0.04535082154998161
01166,石坂公一,-0.050618009225660024
01082,平田修,-0.05787500115289175
01109,伊藤大士,-0.051506814247391265
01085,小崎憲,-0.05814839333181311
01102,大竹正博,-0.05769293831776578
01196,西園翔太,-0.006289615224085731
01150,池上昌和,-0.056867353760654354
01048,畠山吉宏,-0.04792771195280636
01043,石栗龍彦,-0.020384783888598063
01178,杉山佳明,-0.045540677984711765
01121,角田晃一,-0.050333988927611636
01088,高木登,-0.04163072105099869
01027,田村康仁,-0.05561710509663761
01059,加藤征弘,-0.08300348970638859
01164,安田翔伍,-0.0554493796963763
01182,辻哲英,-0.030626811579594855
01173,長谷川浩,-0.04887216393397903
01120,千田輝彦,-0.0486114477159599
01008,杉浦宏昭,-0.04679719934883464
01115,菊沢隆徳,-0.054068119348669536
01100,松山将樹,-0.037391500232872174
01089,武市康男,-0.05260967110837212
01044,昆貢,-0.07406037333345687
01146,奥村豊,-0.045795228768737525
01163,林徹,-0.05409382641053209
01181,茶木太樹,-0.0611330975067775
01199,千葉直人,-0.010248888054351249
01148,西村真幸,-0.05400447234104644
01212,秋山真一,-0.0723751790561035
01055,藤原英昭,-0.06934247658987489
01187,西田雄一,-0.053366777125533685
01113,牧浦充徳,-0.05548568281373163
01174,深山雅史,-0.03455423491448536
01035,佐藤吉勝,-0.03427792303577695
01139,飯田祐史,-0.050019299007232905
01095,荒川義之,-0.02843352034441733
